timestamp,event,details,image_path
2025-11-13T13:26:28.316707,alarm,Fire (heuristic),detections\alarm_20251113_132628_307377.jpg
2025-11-13T13:26:28.506674,alarm,Fire (heuristic),detections\alarm_20251113_132628_497157.jpg
2025-11-13T13:26:28.690506,alarm,Fire (heuristic),detections\alarm_20251113_132628_681617.jpg
2025-11-13T13:26:28.855991,alarm,Fire (heuristic),detections\alarm_20251113_132628_845389.jpg
2025-11-13T13:26:29.039363,alarm,Fire (heuristic),detections\alarm_20251113_132629_030020.jpg
2025-11-13T13:26:29.323764,alarm,Fire (heuristic),detections\alarm_20251113_132629_313306.jpg
2025-11-13T13:26:29.545227,alarm,Fire (heuristic),detections\alarm_20251113_132629_534680.jpg
2025-11-13T13:26:29.755995,alarm,Fire (heuristic),detections\alarm_20251113_132629_744269.jpg
2025-11-13T13:26:29.994914,alarm,Fire (heuristic),detections\alarm_20251113_132629_984939.jpg
2025-11-13T13:26:30.195951,alarm,Fire (heuristic),detections\alarm_20251113_132630_185203.jpg
